Offence,Cases,Offences_total,Attempts,Solved,Suspects_total,Legal_entities,Natural_persons,Male,Female,Gender_unknown,Under_10,Age_10_14,Age_15_17,Age_18_19,Age_20_24,Age_25_29,Age_30_34,Age_35_39,Age_40_49,Age_50_59,Age_60_69,Age_70_plus,Age_unknown,Swiss,Foreign,Foreign_residents,Asylum_population,Other_foreigners,Year
Ehemalige Kategorie Handel (Vergehen),5569.0,6115.0,49.0,6031.0,5375.0,2.0,5373.0,4859.0,514.0,0.0,0.0,71.0,525.0,608.0,1248.0,952.0,668.0,467.0,606.0,192.0,30.0,5.0,1.0,2585.0,2788.0,1092.0,427.0,1269.0,2014
davon Verbrechen,2261.0,4411.0,13.0,4276.0,2598.0,3.0,2595.0,2362.0,233.0,0.0,0.0,0.0,38.0,183.0,660.0,508.0,376.0,294.0,367.0,141.0,25.0,3.0,0.0,633.0,1962.0,397.0,103.0,1462.0,2014
"anbauen, herstellen oder anders erzeugen",134.0,187.0,0.0,186.0,173.0,0.0,173.0,151.0,22.0,0.0,0.0,0.0,0.0,2.0,13.0,24.0,40.0,28.0,43.0,20.0,3.0,0.0,0.0,126.0,47.0,39.0,1.0,7.0,2014
"lagern, versenden, befördern, einführen, ausführen oder durchführen",218.0,255.0,6.0,245.0,227.0,0.0,227.0,193.0,34.0,0.0,0.0,0.0,1.0,7.0,47.0,37.0,37.0,30.0,44.0,20.0,3.0,1.0,0.0,35.0,192.0,35.0,7.0,150.0,2014
"besitzen, aufbewahren, erwerben, anders erlangen",1232.0,1455.0,1.0,1372.0,1342.0,1.0,1341.0,1231.0,110.0,0.0,0.0,0.0,13.0,98.0,331.0,262.0,202.0,151.0,197.0,73.0,12.0,2.0,0.0,275.0,1066.0,159.0,42.0,865.0,2014
Ehemalige Kategorie Handel (Verbrechen),1909.0,2514.0,6.0,2473.0,2259.0,2.0,2257.0,2075.0,182.0,0.0,0.0,0.0,36.0,174.0,600.0,440.0,313.0,246.0,301.0,121.0,23.0,3.0,0.0,539.0,1718.0,340.0,91.0,1287.0,2014
"3) Ständige Wohnbevölkerung: Schweizer/innen, Ausländer/innen mit Ausweis B, C, diplomatisches Personal, internationale Funktionäre/innen, Ausweis Ci 
Asylbevölkerung: Ausländer/innen mit Ausweis F, N, S
Übrige Ausländer/innen: Ausländer/innen mit Ausweis L, G, Touristen/innen / legal Anwesende ohne ausweispflichtigen Status, Asylsuchende mit Nichteintretensentscheid, abgewiesene Asylsuchende mit Sozialhilfestopp, Rückweisung an der Grenze, illegaler Aufenthalt, im Meldeverfahren, Aufenthaltsstatus unbekannt oder fehlend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
"4) Die Kantone Jura und Neuenburg konnten die Codes für BetmG-Übertretungen bis 2019 nicht erfassen, der Kanton Freiburg bis 2020 nicht.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Stand der Datenbank: 12.02.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
© BFS 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Gesamttotal,54629.0,97289.0,79.0,94561.0,41680.0,4.0,41676.0,36882.0,4794.0,0.0,3.0,506.0,4741.0,5182.0,10480.0,7291.0,5143.0,3179.0,3915.0,1075.0,135.0,17.0,9.0,23015.0,18661.0,8550.0,2355.0,7755.0,2013
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung4",49906.0,76615.0,14.0,74574.0,38124.0,1.0,38123.0,33663.0,4460.0,0.0,3.0,488.0,4567.0,4902.0,9544.0,6594.0,4638.0,2820.0,3513.0,931.0,103.0,15.0,5.0,22025.0,16098.0,8013.0,1968.0,6116.0,2013
Konsum von Betäubungsmitteln,44212.0,45905.0,10.0,45845.0,35675.0,1.0,35674.0,31530.0,4144.0,0.0,3.0,465.0,4345.0,4648.0,8977.0,6115.0,4339.0,2634.0,3209.0,835.0,89.0,11.0,4.0,20631.0,15043.0,7545.0,1797.0,5700.0,2013
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",462.0,484.0,2.0,474.0,472.0,0.0,472.0,407.0,65.0,0.0,0.0,2.0,13.0,29.0,81.0,84.0,90.0,36.0,90.0,40.0,4.0,3.0,0.0,367.0,105.0,91.0,3.0,11.0,2013
"besitzen, aufbewahren, erwerben oder anders erlangen, zum Eigenkonsum",29899.0,30226.0,2.0,28255.0,23004.0,1.0,23003.0,20539.0,2464.0,0.0,1.0,217.0,2677.0,3132.0,6017.0,3989.0,2660.0,1638.0,2044.0,562.0,58.0,6.0,2.0,13120.0,9883.0,4573.0,1280.0,4029.0,2013
"Total Straftaten nicht für den persönlichen Konsum bestimmt: illegaler Handel, Anbau oder Herstellung",13921.0,20674.0,65.0,19987.0,12978.0,4.0,12974.0,11693.0,1281.0,0.0,1.0,122.0,1041.0,1395.0,3176.0,2430.0,1712.0,1139.0,1405.0,461.0,82.0,5.0,5.0,5976.0,6998.0,2424.0,1002.0,3572.0,2013
davon Vergehen,12169.0,16146.0,58.0,15584.0,10895.0,2.0,10893.0,9813.0,1080.0,0.0,1.0,120.0,1017.0,1289.0,2634.0,1996.0,1385.0,892.0,1126.0,359.0,67.0,4.0,3.0,5584.0,5309.0,2108.0,891.0,2310.0,2013
"anbauen, herstellen oder anders erzeugen",700.0,818.0,4.0,799.0,755.0,1.0,754.0,661.0,93.0,0.0,0.0,3.0,20.0,21.0,130.0,159.0,132.0,70.0,142.0,63.0,13.0,1.0,0.0,589.0,165.0,152.0,1.0,12.0,2013
"lagern, versenden, befördern, einführen, ausführen oder durchführen",1301.0,1347.0,7.0,1332.0,1280.0,0.0,1280.0,1133.0,147.0,0.0,0.0,1.0,42.0,129.0,325.0,256.0,180.0,125.0,154.0,47.0,18.0,2.0,1.0,652.0,628.0,183.0,8.0,437.0,2013
"besitzen, aufbewahren, erwerben, anders erlangen",8444.0,8803.0,4.0,8371.0,7487.0,0.0,7487.0,6758.0,729.0,0.0,1.0,71.0,709.0,894.0,1860.0,1371.0,978.0,604.0,722.0,234.0,40.0,1.0,2.0,3955.0,3532.0,1487.0,531.0,1514.0,2013
Ehemalige Kategorie Handel (Vergehen),4803.0,5178.0,43.0,5082.0,4577.0,1.0,4576.0,4153.0,423.0,0.0,0.0,58.0,387.0,535.0,1032.0,857.0,570.0,404.0,536.0,173.0,24.0,0.0,0.0,2026.0,2550.0,871.0,679.0,1000.0,2013
davon Verbrechen,2234.0,4528.0,7.0,4403.0,2672.0,3.0,2669.0,2416.0,253.0,0.0,0.0,4.0,34.0,156.0,666.0,566.0,413.0,303.0,366.0,139.0,18.0,2.0,2.0,601.0,2068.0,431.0,146.0,1491.0,2013
"anbauen, herstellen oder anders erzeugen",135.0,174.0,0.0,172.0,168.0,0.0,168.0,149.0,19.0,0.0,0.0,0.0,0.0,1.0,19.0,35.0,34.0,21.0,32.0,21.0,5.0,0.0,0.0,122.0,46.0,38.0,1.0,7.0,2013
"lagern, versenden, befördern, einführen, ausführen oder durchführen",256.0,319.0,4.0,308.0,297.0,1.0,296.0,250.0,46.0,0.0,0.0,1.0,2.0,6.0,49.0,52.0,50.0,50.0,63.0,18.0,4.0,1.0,0.0,52.0,244.0,52.0,5.0,187.0,2013
"besitzen, aufbewahren, erwerben, anders erlangen",1240.0,1495.0,1.0,1441.0,1401.0,1.0,1400.0,1278.0,122.0,0.0,0.0,1.0,15.0,73.0,350.0,308.0,214.0,159.0,197.0,72.0,10.0,1.0,0.0,275.0,1125.0,181.0,69.0,875.0,2013
Ehemalige Kategorie Handel (Verbrechen),1854.0,2540.0,2.0,2482.0,2288.0,3.0,2285.0,2083.0,202.0,0.0,0.0,3.0,28.0,136.0,596.0,498.0,346.0,253.0,300.0,107.0,15.0,1.0,2.0,479.0,1806.0,375.0,136.0,1295.0,2013
"3) Ständige Wohnbevölkerung: Schweizer/innen, Ausländer/innen mit Ausweis B, C, diplomatisches Personal, internationale Funktionäre/innen, Ausweis Ci 
Asylbevölkerung: Ausländer/innen mit Ausweis F, N, S
Übrige Ausländer/innen: Ausländer/innen mit Ausweis L, G, Touristen/innen / legal Anwesende ohne ausweispflichtigen Status, Asylsuchende mit Nichteintretensentscheid, abgewiesene Asylsuchende mit Sozialhilfestopp, Rückweisung an der Grenze, illegaler Aufenthalt, im Meldeverfahren, Aufenthaltsstatus unbekannt oder fehlend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
"4) Die Kantone Jura und Neuenburg konnten die Codes für BetmG-Übertretungen bis 2019 nicht erfassen, der Kanton Freiburg bis 2020 nicht.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Stand der Datenbank: 10.02.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
© BFS 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
Gesamttotal,53584.0,92862.0,112.0,89627.0,39914.0,2.0,39912.0,35522.0,4390.0,0.0,7.0,448.0,4408.0,5202.0,10169.0,7045.0,4850.0,2997.0,3735.0,904.0,118.0,20.0,9.0,22045.0,17867.0,8112.0,2804.0,6951.0,2012
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung4",49016.0,73885.0,20.0,71335.0,36499.0,1.0,36498.0,32495.0,4003.0,0.0,7.0,428.0,4247.0,4893.0,9298.0,6380.0,4337.0,2701.0,3352.0,752.0,88.0,12.0,3.0,21033.0,15465.0,7565.0,2383.0,5517.0,2012
Konsum von Betäubungsmitteln,43115.0,44789.0,12.0,44747.0,34211.0,0.0,34211.0,30487.0,3724.0,0.0,7.0,410.0,4053.0,4651.0,8755.0,5941.0,4040.0,2508.0,3094.0,670.0,71.0,9.0,2.0,19740.0,14471.0,7076.0,2184.0,5211.0,2012
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",470.0,496.0,2.0,490.0,486.0,1.0,485.0,423.0,62.0,0.0,1.0,5.0,22.0,32.0,78.0,92.0,74.0,44.0,86.0,39.0,10.0,2.0,0.0,410.0,75.0,60.0,2.0,13.0,2012
"besitzen, aufbewahren, erwerben oder anders erlangen, zum Eigenkonsum",28276.0,28600.0,6.0,26098.0,21227.0,1.0,21226.0,19136.0,2090.0,0.0,5.0,159.0,2232.0,2957.0,5702.0,3718.0,2477.0,1581.0,1891.0,445.0,53.0,5.0,1.0,11884.0,9342.0,4192.0,1601.0,3549.0,2012
"Total Straftaten nicht für den persönlichen Konsum bestimmt: illegaler Handel, Anbau oder Herstellung",13103.0,18977.0,92.0,18292.0,12164.0,2.0,12162.0,10983.0,1179.0,0.0,1.0,103.0,1038.0,1377.0,3025.0,2208.0,1672.0,1008.0,1257.0,393.0,56.0,17.0,7.0,5701.0,6461.0,2274.0,1137.0,3050.0,2012
davon Vergehen,11420.0,14760.0,86.0,14146.0,10178.0,2.0,10176.0,9230.0,946.0,0.0,1.0,102.0,1014.0,1265.0,2545.0,1774.0,1335.0,793.0,997.0,291.0,40.0,14.0,5.0,5335.0,4841.0,1964.0,1026.0,1851.0,2012
"anbauen, herstellen oder anders erzeugen",676.0,769.0,7.0,759.0,739.0,2.0,737.0,649.0,88.0,0.0,0.0,4.0,25.0,45.0,126.0,138.0,122.0,74.0,127.0,55.0,17.0,4.0,0.0,610.0,127.0,116.0,0.0,11.0,2012
"lagern, versenden, befördern, einführen, ausführen oder durchführen",972.0,993.0,35.0,978.0,960.0,0.0,960.0,849.0,111.0,0.0,0.0,1.0,27.0,87.0,271.0,205.0,161.0,83.0,89.0,34.0,1.0,0.0,1.0,461.0,499.0,140.0,22.0,337.0,2012
"besitzen, aufbewahren, erwerben, anders erlangen",7707.0,7994.0,5.0,7481.0,6811.0,1.0,6810.0,6216.0,594.0,0.0,1.0,60.0,735.0,848.0,1726.0,1187.0,834.0,515.0,687.0,180.0,27.0,7.0,3.0,3696.0,3114.0,1355.0,590.0,1169.0,2012
Ehemalige Kategorie Handel (Vergehen),4629.0,5004.0,39.0,4928.0,4384.0,1.0,4383.0,3997.0,386.0,0.0,1.0,49.0,367.0,553.0,1086.0,754.0,582.0,344.0,470.0,151.0,14.0,8.0,4.0,1976.0,2407.0,827.0,766.0,814.0,2012
davon Verbrechen,2066.0,4217.0,6.0,4146.0,2499.0,0.0,2499.0,2209.0,290.0,0.0,0.0,1.0,32.0,151.0,575.0,549.0,424.0,270.0,342.0,129.0,21.0,3.0,2.0,549.0,1950.0,414.0,160.0,1376.0,2012
"anbauen, herstellen oder anders erzeugen",130.0,177.0,0.0,176.0,160.0,0.0,160.0,146.0,14.0,0.0,0.0,0.0,0.0,1.0,16.0,40.0,19.0,21.0,35.0,24.0,4.0,0.0,0.0,126.0,34.0,29.0,1.0,4.0,2012
"lagern, versenden, befördern, einführen, ausführen oder durchführen",256.0,333.0,2.0,326.0,317.0,0.0,317.0,250.0,67.0,0.0,0.0,0.0,1.0,8.0,48.0,59.0,61.0,49.0,61.0,24.0,3.0,1.0,2.0,32.0,285.0,47.0,8.0,230.0,2012
"besitzen, aufbewahren, erwerben, anders erlangen",1191.0,1420.0,0.0,1388.0,1378.0,0.0,1378.0,1222.0,156.0,0.0,0.0,0.0,18.0,85.0,331.0,297.0,221.0,152.0,178.0,80.0,12.0,2.0,2.0,264.0,1114.0,188.0,60.0,866.0,2012
Ehemalige Kategorie Handel (Verbrechen),1670.0,2287.0,4.0,2256.0,2078.0,0.0,2078.0,1861.0,217.0,0.0,0.0,1.0,29.0,135.0,509.0,459.0,351.0,204.0,272.0,102.0,14.0,2.0,0.0,426.0,1652.0,356.0,148.0,1148.0,2012
"3) Ständige Wohnbevölkerung: Schweizer/innen, Ausländer/innen mit Ausweis B, C, diplomatisches Personal, internationale Funktionäre/innen, Ausweis Ci 
Asylbevölkerung: Ausländer/innen mit Ausweis F, N, S
Übrige Ausländer/innen: Ausländer/innen mit Ausweis L, G, Touristen/innen / legal Anwesende ohne ausweispflichtigen Status, Asylsuchende mit Nichteintretensentscheid, abgewiesene Asylsuchende mit Sozialhilfestopp, Rückweisung an der Grenze, illegaler Aufenthalt, im Meldeverfahren, Aufenthaltsstatus unbekannt oder fehlend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
"4) Die Kantone Jura und Neuenburg konnten die Codes für BetmG-Übertretungen bis 2019 nicht erfassen, der Kanton Freiburg bis 2020 nicht.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Stand der Datenbank: 11.02.2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
© BFS 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Gesamttotal,51765.0,91211.0,89.0,88396.0,37916.0,1.0,37915.0,33640.0,4275.0,0.0,6.0,447.0,4056.0,4789.0,9745.0,6854.0,4359.0,2987.0,3714.0,844.0,102.0,11.0,1.0,21463.0,16452.0,7949.0,2322.0,6181.0,2011
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung4",47978.0,74494.0,23.0,72220.0,34884.0,1.0,34883.0,30933.0,3950.0,0.0,6.0,419.0,3899.0,4519.0,8967.0,6251.0,3928.0,2699.0,3381.0,722.0,85.0,7.0,0.0,20548.0,14335.0,7436.0,1930.0,4969.0,2011
Konsum von Betäubungsmitteln,42087.0,43711.0,17.0,43645.0,32518.0,0.0,32518.0,28880.0,3638.0,0.0,7.0,395.0,3708.0,4259.0,8387.0,5863.0,3635.0,2475.0,3076.0,642.0,67.0,4.0,0.0,19113.0,13405.0,6943.0,1785.0,4677.0,2011
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",574.0,612.0,1.0,606.0,603.0,0.0,603.0,522.0,81.0,0.0,0.0,3.0,19.0,34.0,108.0,130.0,89.0,57.0,87.0,61.0,13.0,2.0,0.0,511.0,92.0,78.0,0.0,14.0,2011
"besitzen, aufbewahren, erwerben oder anders erlangen, zum Eigenkonsum",29714.0,30171.0,5.0,27969.0,21642.0,1.0,21641.0,19353.0,2288.0,0.0,3.0,178.0,2225.0,2999.0,5747.0,3867.0,2410.0,1658.0,2037.0,463.0,48.0,6.0,0.0,12468.0,9173.0,4309.0,1363.0,3501.0,2011
"Total Straftaten nicht für den persönlichen Konsum bestimmt: illegaler Handel, Anbau oder Herstellung",11309.0,16717.0,66.0,16176.0,10659.0,1.0,10658.0,9552.0,1106.0,0.0,3.0,93.0,891.0,1118.0,2618.0,1970.0,1389.0,961.0,1228.0,334.0,46.0,6.0,1.0,5204.0,5454.0,2151.0,899.0,2404.0,2011
davon Vergehen,9675.0,12585.0,57.0,12117.0,8702.0,0.0,8702.0,7823.0,879.0,0.0,3.0,92.0,871.0,1014.0,2162.0,1512.0,1073.0,722.0,963.0,244.0,40.0,6.0,0.0,4825.0,3877.0,1759.0,777.0,1341.0,2011
"anbauen, herstellen oder anders erzeugen",571.0,639.0,6.0,622.0,617.0,0.0,617.0,557.0,60.0,0.0,0.0,1.0,15.0,19.0,104.0,113.0,108.0,75.0,119.0,52.0,8.0,3.0,0.0,512.0,105.0,99.0,0.0,6.0,2011
"lagern, versenden, befördern, einführen, ausführen oder durchführen",745.0,780.0,14.0,766.0,730.0,0.0,730.0,636.0,94.0,0.0,0.0,1.0,18.0,57.0,192.0,160.0,109.0,76.0,91.0,18.0,7.0,1.0,0.0,349.0,381.0,95.0,13.0,273.0,2011
"besitzen, aufbewahren, erwerben, anders erlangen",6791.0,7079.0,6.0,6697.0,6136.0,0.0,6136.0,5537.0,599.0,0.0,4.0,67.0,674.0,764.0,1511.0,1040.0,738.0,489.0,658.0,159.0,28.0,4.0,0.0,3598.0,2538.0,1276.0,427.0,835.0,2011
Ehemalige Kategorie Handel (Vergehen),3800.0,4087.0,31.0,4032.0,3612.0,0.0,3612.0,3265.0,347.0,0.0,0.0,38.0,266.0,364.0,893.0,621.0,461.0,336.0,474.0,143.0,13.0,3.0,0.0,1696.0,1916.0,756.0,599.0,561.0,2011
davon Verbrechen,1914.0,4132.0,9.0,4059.0,2352.0,1.0,2351.0,2079.0,272.0,0.0,0.0,1.0,23.0,134.0,527.0,539.0,384.0,295.0,334.0,101.0,12.0,0.0,1.0,525.0,1826.0,512.0,157.0,1157.0,2011
"anbauen, herstellen oder anders erzeugen",102.0,131.0,0.0,130.0,128.0,1.0,127.0,116.0,11.0,0.0,0.0,0.0,0.0,2.0,21.0,29.0,16.0,17.0,26.0,13.0,3.0,0.0,0.0,91.0,36.0,24.0,0.0,12.0,2011
"lagern, versenden, befördern, einführen, ausführen oder durchführen",255.0,346.0,6.0,342.0,338.0,0.0,338.0,276.0,62.0,0.0,0.0,0.0,0.0,3.0,46.0,70.0,63.0,62.0,65.0,27.0,1.0,0.0,1.0,51.0,287.0,66.0,5.0,216.0,2011
"besitzen, aufbewahren, erwerben, anders erlangen",1159.0,1449.0,1.0,1411.0,1368.0,1.0,1367.0,1233.0,134.0,0.0,0.0,1.0,15.0,71.0,327.0,328.0,197.0,176.0,186.0,60.0,6.0,0.0,0.0,268.0,1099.0,260.0,75.0,764.0,2011
Ehemalige Kategorie Handel (Verbrechen),1575.0,2206.0,2.0,2176.0,1990.0,1.0,1989.0,1773.0,216.0,0.0,0.0,1.0,20.0,122.0,467.0,469.0,324.0,225.0,272.0,79.0,10.0,0.0,0.0,416.0,1573.0,443.0,148.0,982.0,2011
"3) Ständige Wohnbevölkerung: Schweizer/innen, Ausländer/innen mit Ausweis B, C, diplomatisches Personal, internationale Funktionäre/innen, Ausweis Ci 
Asylbevölkerung: Ausländer/innen mit Ausweis F, N, S
Übrige Ausländer/innen: Ausländer/innen mit Ausweis L, G, Touristen/innen / legal Anwesende ohne ausweispflichtigen Status, Asylsuchende mit Nichteintretensentscheid, abgewiesene Asylsuchende mit Sozialhilfestopp, Rückweisung an der Grenze, illegaler Aufenthalt, im Meldeverfahren, Aufenthaltsstatus unbekannt oder fehlend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
"4) Die Kantone Jura und Neuenburg konnten die Codes für BetmG-Übertretungen bis 2019 nicht erfassen, der Kanton Freiburg bis 2020 nicht.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
Stand der Datenbank: 13.02.2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
© BFS 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
Gesamttotal,50446.0,89173.0,116.0,87544.0,38697.0,1.0,38696.0,34104.0,4592.0,0.0,6.0,558.0,4352.0,4878.0,9740.0,6960.0,4323.0,3288.0,3694.0,783.0,94.0,14.0,6.0,22366.0,16330.0,8454.0,1986.0,5890.0,2010
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung4",46330.0,70745.0,23.0,69554.0,35617.0,1.0,35616.0,31337.0,4279.0,0.0,5.0,537.0,4182.0,4567.0,8958.0,6334.0,3909.0,2982.0,3359.0,697.0,76.0,8.0,2.0,21480.0,14136.0,7875.0,1497.0,4764.0,2010
Konsum von Betäubungsmitteln,41989.0,44071.0,14.0,44015.0,33517.0,0.0,33517.0,29504.0,4013.0,0.0,5.0,514.0,4027.0,4341.0,8486.0,5935.0,3636.0,2778.0,3093.0,628.0,66.0,6.0,2.0,20276.0,13241.0,7376.0,1379.0,4486.0,2010
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",626.0,658.0,4.0,654.0,639.0,1.0,638.0,555.0,83.0,0.0,0.0,7.0,37.0,55.0,100.0,102.0,90.0,77.0,106.0,49.0,11.0,4.0,0.0,548.0,90.0,81.0,2.0,7.0,2010
"besitzen, aufbewahren, erwerben oder anders erlangen, zum Eigenkonsum",25761.0,26016.0,5.0,24885.0,19920.0,1.0,19919.0,17860.0,2059.0,0.0,1.0,184.0,2174.0,2740.0,5254.0,3527.0,2133.0,1633.0,1829.0,395.0,42.0,7.0,0.0,11799.0,8120.0,4152.0,973.0,2995.0,2010
"Total Straftaten nicht für den persönlichen Konsum bestimmt: illegaler Handel, Anbau oder Herstellung",12493.0,18428.0,93.0,17990.0,11681.0,1.0,11680.0,10461.0,1219.0,0.0,2.0,99.0,936.0,1341.0,2891.0,2198.0,1416.0,1123.0,1313.0,308.0,42.0,6.0,5.0,5597.0,6083.0,2420.0,1106.0,2557.0,2010
davon Vergehen,10566.0,13788.0,68.0,13446.0,9605.0,1.0,9604.0,8618.0,986.0,0.0,2.0,98.0,891.0,1187.0,2444.0,1731.0,1085.0,856.0,1036.0,238.0,32.0,2.0,2.0,5125.0,4479.0,2021.0,910.0,1548.0,2010
"anbauen, herstellen oder anders erzeugen",616.0,665.0,3.0,653.0,634.0,1.0,633.0,573.0,60.0,0.0,0.0,2.0,26.0,40.0,93.0,126.0,78.0,87.0,126.0,49.0,5.0,1.0,0.0,510.0,123.0,103.0,0.0,20.0,2010
"lagern, versenden, befördern, einführen, ausführen oder durchführen",636.0,676.0,22.0,661.0,638.0,0.0,638.0,563.0,75.0,0.0,1.0,7.0,15.0,53.0,156.0,144.0,91.0,76.0,70.0,20.0,4.0,0.0,1.0,272.0,366.0,82.0,10.0,274.0,2010
"besitzen, aufbewahren, erwerben, anders erlangen",7000.0,7368.0,5.0,7120.0,6437.0,1.0,6436.0,5793.0,643.0,0.0,1.0,52.0,608.0,813.0,1662.0,1159.0,729.0,558.0,687.0,152.0,15.0,0.0,0.0,3587.0,2849.0,1385.0,492.0,972.0,2010
Ehemalige Kategorie Handel (Vergehen),4705.0,5079.0,38.0,5012.0,4423.0,1.0,4422.0,3976.0,446.0,0.0,0.0,48.0,371.0,535.0,1091.0,786.0,523.0,395.0,543.0,110.0,17.0,2.0,1.0,2033.0,2389.0,953.0,748.0,688.0,2010
davon Verbrechen,2378.0,4640.0,25.0,4544.0,2686.0,1.0,2685.0,2376.0,309.0,0.0,0.0,2.0,54.0,199.0,589.0,592.0,418.0,340.0,375.0,99.0,10.0,4.0,3.0,712.0,1973.0,542.0,252.0,1179.0,2010
"anbauen, herstellen oder anders erzeugen",127.0,174.0,0.0,174.0,164.0,1.0,163.0,143.0,20.0,0.0,0.0,0.0,1.0,3.0,11.0,38.0,30.0,26.0,35.0,15.0,2.0,2.0,0.0,131.0,32.0,28.0,0.0,4.0,2010
"lagern, versenden, befördern, einführen, ausführen oder durchführen",260.0,381.0,13.0,369.0,330.0,0.0,330.0,270.0,60.0,0.0,0.0,1.0,2.0,17.0,54.0,65.0,60.0,40.0,67.0,20.0,4.0,0.0,0.0,58.0,272.0,67.0,14.0,191.0,2010
"besitzen, aufbewahren, erwerben, anders erlangen",1203.0,1482.0,1.0,1430.0,1343.0,1.0,1342.0,1195.0,147.0,0.0,0.0,2.0,29.0,114.0,307.0,298.0,187.0,149.0,195.0,56.0,4.0,1.0,0.0,297.0,1045.0,223.0,132.0,690.0,2010
Ehemalige Kategorie Handel (Verbrechen),2045.0,2603.0,11.0,2571.0,2327.0,0.0,2327.0,2077.0,250.0,0.0,0.0,1.0,44.0,180.0,540.0,509.0,351.0,296.0,316.0,77.0,7.0,3.0,3.0,599.0,1728.0,488.0,240.0,1000.0,2010
"3) Ständige Wohnbevölkerung: Schweizer/innen, Ausländer/innen mit Ausweis B, C, diplomatisches Personal, internationale Funktionäre/innen, Ausweis Ci 
Asylbevölkerung: Ausländer/innen mit Ausweis F, N, S
Übrige Ausländer/innen: Ausländer/innen mit Ausweis L, G, Touristen/innen / legal Anwesende ohne ausweispflichtigen Status, Asylsuchende mit Nichteintretensentscheid, abgewiesene Asylsuchende mit Sozialhilfestopp, Rückweisung an der Grenze, illegaler Aufenthalt, im Meldeverfahren, Aufenthaltsstatus unbekannt oder fehlend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
"4) Die Kantone Jura und Neuenburg konnten die Codes für BetmG-Übertretungen bis 2019 nicht erfassen, der Kanton Freiburg bis 2020 nicht.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
Stand der Datenbank: 11.02.2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
© BFS 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
Gesamttotal,49859.0,85742.0,78.0,84724.0,38310.0,2.0,38308.0,33726.0,4582.0,0.0,2.0,535.0,4506.0,4860.0,9516.0,6757.0,4273.0,3334.0,3721.0,702.0,77.0,11.0,14.0,22568.0,15740.0,7978.0,1838.0,5922.0,2009
"Total Straftaten zum Eigenkonsum: illegaler Konsum, Besitz, Kauf, Gebrauch, Anbau oder Herstellung4",45500.0,67884.0,20.0,67235.0,34849.0,1.0,34848.0,30636.0,4212.0,0.0,2.0,500.0,4296.0,4508.0,8677.0,6040.0,3847.0,3037.0,3305.0,582.0,50.0,3.0,1.0,21548.0,13300.0,7312.0,1321.0,4665.0,2009
Konsum von Betäubungsmitteln,41488.0,43272.0,15.0,43207.0,32818.0,1.0,32817.0,28839.0,3978.0,0.0,2.0,476.0,4115.0,4304.0,8209.0,5656.0,3599.0,2831.0,3058.0,523.0,41.0,2.0,1.0,20368.0,12449.0,6834.0,1201.0,4412.0,2009
"anbauen, herstellen oder anders erzeugen, zum Eigenkonsum",475.0,488.0,1.0,484.0,453.0,1.0,452.0,400.0,52.0,0.0,0.0,3.0,28.0,31.0,93.0,86.0,48.0,54.0,77.0,25.0,5.0,2.0,0.0,372.0,80.0,76.0,1.0,3.0,2009
"besitzen, aufbewahren, erwerben oder anders erlangen, zum Eigenkonsum",24023.0,24124.0,4.0,23544.0,18768.0,1.0,18767.0,16852.0,1915.0,0.0,1.0,191.0,2174.0,2618.0,4942.0,3243.0,2024.0,1549.0,1694.0,302.0,26.0,3.0,0.0,11194.0,7573.0,3759.0,824.0,2988.0,2009
